Function name (including params),Section,Is it on PostGIS function,Note,Support level,PostGIS Gaps,Can we support it,In Plain English,ID
geometry (TYPE),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,"Composite type `(lon double precision[], lat double precision[])`. A point is a single-element array. A polygon is 3+ vertices. No explicit closing required.",Partial,"PostGIS geometry supports 2D/3D/4D (Z/M), MultiPoint/MultiLineString/MultiPolygon/GeometryCollection, polygons with holes (inner rings), embedded SRID. YB: 2D only, single simple polygon, no holes, no SRID field.",,The fundamental 2D flat-map shape. Stored as two arrays of numbers (X and Y).,1
"ST_MakePoint(p_lon double precision, p_lat double precision)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a single-point geometry.,Supported in 2D,"PostGIS geometry supports 3D/4D coordinates (Z/M). YB: 2D only, no capacity for Z/M in the underlying arrays.",,Draw a dot at this exact coordinate.,2
"ST_MakePolygon(p_lon double precision[], p_lat double precision[])",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a polygon from parallel vertex arrays.,Partial,"PostGIS accepts shell + optional array of hole LineStrings, supports 3D/M. YB: no holes (inner rings) support, 2D only.",,Draw a shape using this list of connected coordinates.,3
"ST_MakeEnvelope(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a rectangle geometry from bounding box corners.,Partial,"PostGIS supports 3D bounding boxes and tracks SRID status. YB: 2D only, no SRID field.","Possible, by building a C-extension geometry type. A proper GSERIALIZED struct supports Z/M dimensions and embeds the SRID metadata.",Draw a rectangle using these minimum and maximum coordinates.,4
"ST_MakeEnvelope(p_lon_min double precision, p_lat_min double precision, p_lon_max double precision, p_lat_max double precision, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Creates a rectangle geometry from bounding box corners.,Shim,"Accepts the SRID parameter but silently ignores it, delegating to the 2D-only 4-arg version.","Possible, by building a C-extension geometry type. The C constructor will write the provided SRID integer directly into the geometry header byte 5-8 of the GSERIALIZED header.",Draw a rectangle using these minimum and maximum coordinates.,5
PostGIS_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns `'2.1 USE_GEOS=0'`. GeoServer version detection stub.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,6
PostGIS_Lib_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns `'2.1.8'`. GeoServer version detection stub.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,7
PostGIS_Full_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns a full version string noting YugabyteDB PL/pgSQL shim.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,8
PostGIS_GEOS_Version(),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns NULL. GEOS is not available.,Stub,,,Fake a version string so GeoServer thinks PostGIS is installed.,9
ST_SRID(p_geom geometry),Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Always returns 4326.,Stub,,,"What coordinate system (e.g., GPS WGS84) is this shape using?",10
"ST_SetSRID(p_geom geometry, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns the geometry unchanged.,Stub,,,Change the metadata tag to say this shape uses a different coordinate system.,11
"ST_Transform(p_geom geometry, p_srid integer)",Section 1: CreateGeometryType.sql - Define the geometry type,Yes,Returns the geometry unchanged. In real PostGIS this reprojects coordinates.,Stub,,,"Reproject these coordinates from one system (e.g., GPS) to another (e.g., Web Mercator).",12
